epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8088.6,2.07749,2.68847,2.09912,0.34656,0.30357,0.23602,0.08256,2.25027,2.58552,2.41837,0.00066605,0.00066605,0.00066605
2,40988.3,2.06625,2.5317,2.15211,0.31457,0.27491,0.21718,0.08184,2.22451,2.59923,2.40135,0.00130633,0.00130633,0.00130633
3,47951.1,2.01108,2.43185,2.09866,0.32635,0.29368,0.22338,0.07782,2.12614,2.50921,2.31805,0.00192021,0.00192021,0.00192021
4,52580.8,1.97114,2.3584,2.06119,0.35388,0.32613,0.28538,0.11647,2.06255,2.36252,2.25473,0.0018812,0.0018812,0.0018812
